file_size,time_diff
265484,0
92975,0
307737,0
226615,0
53796,0
73471,10
328312,0
46927,0
280088,0
177924,0
73460,0
73452,0
325909,0
73417,0
18132,0
210348,0
178587,0
73728,10
73681,0
74203,1
75113,0
73798,0
73681,0
74578,0
74621,0
327756,0
73959,0
74785,0
74163,0
74642,0
75200,0
182584,0
73755,0
74238,0
73682,0
75113,0
74259,0
382378,11
352411,0
75821,0
331664,0
75111,0
253659,0
75786,0
215556,0
75454,0
75068,0
191342,0
75835,0
424705,10
213472,0
97849,1
95681,0
96636,0
98118,0
430034,0
96593,0
188657,0
98127,0
423994,0
98168,0
417142,0
440244,10
432015,0
452212,0
394325,0
432366,0
441388,0
529669,11
484114,0
519439,0
309831,0
125215,0
295505,0
446406,0
503105,12
444808,0
543247,0
31519,0
516638,0
462374,0
516663,0
458312,0
611058,11
882576,0
844405,0
808483,0
628193,0
522088,0
919387,12
815151,0
642391,0
872403,0
724339,0
939121,0
1200399,13
927429,0
1011698,0
1216859,0
1096121,11
1437158,0
1103795,0
1279018,0
878419,0
1437154,10
1437154,0
1374611,0
1644335,1
1761554,0
1738553,11
335990,0
2158537,12
2133272,0
2551521,0
2183249,19
2545791,0
2990680,0
3786438,11
3093328,0
345203,17
6186304,0
325569,0
7068707,13
7125554,10
8157256,15
8350712,49
8585551,14
7099259,28
10807873,15
10859480,22
11264119,27
15279454,68
39704766,84
2207,122
144875,225
2655,0
